Audit Date,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Management Unit,Species,Number of carcasses assessed,IHNV positive PCR results (Y/N),IPNV positive results (Y/N),ISAV positive results (Y/N),VHSV positive results (Y/N),SAV positive results (Y/N),PRSal positive results (Y/N),PMCV positive results (Y/N),Bacterial pathogens isolated by culture (number of fish),Histologic diagnosis (number of fish),Veterinary diagnosis,Conditions of Note (number of fish)
25-08-2011,572,Grieg Seafood BC,Newcomb,49.64006,-123.65836,Sunshine Coast,Chinook salmon (Oncorhynchus tshawytcha); Coho salmon (Oncorhynchus kisutch),6,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),Bacterial Kidney Disease,n/a
25-08-2011,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Atlantic salmon (Salmo salar),4,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
08-09-2011,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,Broughton Archipelago,Atlantic salmon (Salmo salar),1,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
08-09-2011,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,Broughton Archipelago,Atlantic salmon (Salmo salar),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
21-09-2011,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Discovery Islands,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,N,n/a,n/a,n/a,No mortality that is significant at the population level,Cardiomyopathy (3)
05-10-2011,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Atlantic salmon (Salmo salar),8,N,N,N,Y,n/a,N,n/a,n/a,VHS (2),No disease that is significant at the population level,n/a
05-10-2011,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,Broughton Archipelago,Atlantic salmon (Salmo salar),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
06-10-2011,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (3),No disease that is significant at the population level,n/a
06-10-2011,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,Atlantic salmon (Salmo salar),1,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
12-10-2011,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,N,n/a,n/a,Ulcerative stomatitis (3),Mouth rot,n/a
12-10-2011,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Atlantic salmon (Salmo salar),1,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
13-10-2011,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease causing significant mortality,n/a
13-10-2011,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,N,n/a,n/a,Ulcerative stomatitis (4),No disease that is significant at the population level,n/a
13-10-2011,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
14-10-2011,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Discovery Islands,Atlantic salmon (Salmo salar),1,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
18-10-2011,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Discovery Islands,Atlantic salmon (Salmo salar),4,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
19-10-2011,388,Marine Harvest Canada,Brougham Point,50.37192,-125.3799,Discovery Islands,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
19-10-2011,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
26-10-2011,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
27-10-2011,1899,Creative Salmon Company,Warne Island,49.12815,-125.74923,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),8,N,N,N,N,n/a,Y,n/a,n/a,SRS with Piscirickettsia-like bacteria (2); BKD with Renibacterium-like bacteria (1); Branchitis with Loma-like microsporidia (3),Bacterial Kidney Disease; Salmonid Rickettsial Septicemia; Microsporidial Gill Disease,n/a
02-11-2011,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Central Coast,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,N,n/a,n/a,Microsporidial encephalitis (1),No disease that is significant at the population level,n/a
07-11-2011,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Atlantic salmon (Salmo salar),4,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
08-11-2011,227,Mainstream Canada,Bawden,49.30798,-126.00721,Clayoquot Sound,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,Y,n/a,n/a,SRS with Piscirickettsia-like bacteria (1),No disease that is significant at the population level,n/a
08-11-2011,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,Y,n/a,n/a,n/a,No mortality that is significant at the population level,Net Pen Liver Disease (4)
09-11-2011,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Clayoquot Sound,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,Y,n/a,n/a,Microsporidial encephalitis (1); Unidentified myxozoan infection (1),No disease that is significant at the population level,n/a
09-11-2011,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Clayoquot Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,Y,n/a,n/a,SRS with Piscirickettsia-like bacteria (3),No disease that is significant at the population level,n/a
17-11-2011,572,Grieg Seafood BC,Newcomb,49.64006,-123.65836,Sunshine Coast,Chinook salmon (Oncorhynchus tshawytcha); Coho salmon (Oncorhynchus kisutch),6,N,N,N,N,n/a,N,n/a,n/a,Unidentified myxozoan infection (1),No disease that is significant at the population level,n/a
17-11-2011,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Atlantic salmon (Salmo salar),2,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
18-11-2011,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,Y,n/a,n/a,n/a,No disease that is significant at the population level,n/a
21-11-2011,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Discovery Islands,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
23-11-2011,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,n/a,n/a,Open: no known cause of low level mortality,n/a
25-11-2011,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Discovery Islands,Chinook salmon (Oncorhynchus tshawytcha),8,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (4); Gill flukes (2),Bacterial Kidney Disease,n/a
29-11-2011,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Atlantic salmon (Salmo salar),2,N,N,N,N,n/a,N,n/a,n/a,Ulcerative stomatitis (1),Mouth rot,n/a
29-11-2011,1238,Marine Harvest Canada,Mahatta West,50.4691416,-127.835771,Quatsino Sound,Atlantic salmon (Salmo salar),7,N,N,N,N,n/a,N,n/a,n/a,Ulcerative stomatitis (4),Mouth rot,n/a
29-11-2011,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Nootka Sound,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
11-01-2012,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,Atlantic salmon (Salmo salar),4,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No disease that is significant at the population level,n/a
11-01-2012,1770,Agrimarine Industries,Middle Bay,50.09242,-125.313,Discovery Islands,Chinook salmon (Oncorhynchus tshawytcha),7,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (5),No disease that is significant at the population level,n/a
11-01-2012,388,Marine Harvest Canada,Brougham Point,50.37192,-125.3799,Discovery Islands,Atlantic salmon (Salmo salar),2,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
13-01-2012,306,Mainstream Canada,Venture Point,50.30241,-125.33778,Discovery Islands,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,n/a,n/a,No mortality that is significant at the population level,Cardiomyopathy (6)
13-01-2012,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
17-01-2012,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Atlantic salmon (Salmo salar),4,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
25-01-2012,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Clayoquot Sound,Atlantic salmon (Salmo salar),4,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
25-01-2012,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Clayoquot Sound,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,Moritella viscosa (1),Winter ulcer (presumptive diagnosis) (2),Open: very low level mortality coincident with predators and lesions of unknown cause,n/a
26-01-2012,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,n/a,N,n/a,Moritella viscosa (1),Ulcerative stomatitis (2),No disease that is significant at the population level,Winter ulcer coincident with predation
26-01-2012,227,Mainstream Canada,Bawden,49.30798,-126.00721,Clayoquot Sound,Atlantic salmon (Salmo salar),4,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
27-01-2012,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,Moritella viscosa (1)   ,Sphaerothecum destruens-like encephalitis (1); Microsporidial encephalitis (1),No mortality that is significant at the population level,Net Pen Liver Disease (1)
31-01-2012,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
07-02-2012,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,Atlantic salmon (Salmo salar),4,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (2),No disease that is significant at the population level,n/a
07-02-2012,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,Atlantic salmon (Salmo salar),2,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
09-02-2012,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
14-02-2012,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Nootka Sound,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
14-02-2012,1700,Grieg Seafood BC,Muchalat South,49.64012,-126.32735,Nootka Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
16-02-2012,572,Grieg Seafood BC,Newcomb,49.64006,-123.65836,Sunshine Coast,Chinook salmon (Oncorhynchus tshawytcha); Coho salmon (Oncorhynchus kisutch),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
16-02-2012,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast,Atlantic salmon (Salmo salar),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
21-02-2012,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,Broughton Archipelago,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No mortality that is significant at the population level,Cardiomyopathy (3)
21-02-2012,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,Moritella viscosa (2),Ulcerative dermatitis (2); Ulcerative stomatitis (1),Winter ulcer; Mouth rot,n/a
23-02-2012,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Broughton Archipelago,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,Aeromonas salmonicida (1),Furunculosis (1),No disease that is significant at the population level,n/a
23-02-2012,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Broughton Archipelago,Atlantic salmon (Salmo salar),2,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
23-02-2012,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.5681,Broughton Archipelago,Atlantic salmon (Salmo salar),2,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
07-03-2012,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Atlantic salmon (Salmo salar),12,N,N,N,N,n/a,N,n/a,n/a,Ulcerative stomatitis (4),Mouth rot,n/a
09-03-2012,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Central Coast,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (5),Bacterial Kidney Disease,n/a
09-03-2012,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.4199,Central Coast,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
13-03-2012,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Atlantic salmon (Salmo salar),2,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (2),No disease that is significant at the population level,n/a
16-03-2012,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Discovery Islands,Chinook salmon (Oncorhynchus tshawytcha),3,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (2),Bacterial Kidney Disease,n/a
03-04-2012,211,Marine Harvest Canada,Okisollo,50.30946,-125.31618,Discovery Islands,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
05-04-2012,733,Marine Harvest Canada,Cyrus Rock,50.25682,-125.2103,Discovery Islands,Atlantic salmon (Salmo salar),6,N,N,N,Y,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (2); VHS (1),No disease that is significant at the population level,n/a
11-04-2012,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,Discovery Islands,Atlantic salmon (Salmo salar),1,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
11-04-2012,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Discovery Islands,Atlantic salmon (Salmo salar),2,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
13-04-2012,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,Atlantic salmon (Salmo salar),7,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
16-04-2012,527,Mainstream Canada,Saranac Island,49.24803,-125.90671,Clayoquot Sound,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,Lamellar Kudoa-like xenoma (1)
16-04-2012,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Atlantic salmon (Salmo salar),7,N,N,N,N,n/a,N,n/a,n/a,Winter ulcer (presumptive diagnosis) (1),Winter ulcer,n/a
17-04-2012,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,n/a,N,n/a,Moritella viscosa (1)       Aeromonas salmonicida (2),Furunculosis (1),Winter ulcer,n/a
18-04-2012,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Clayoquot Sound,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,N,n/a,n/a,Ulcerative dermatitis (1); Microsporidial encephalitis (1),No disease that is significant at the population level,n/a
18-04-2012,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,n/a,N,n/a,n/a,Sphaerothecum destruens-like encephalitis (1); Microsporidial encephalitis (1); Ulcerative dermatitis (4) ,Winter ulcer,n/a
19-04-2012,1899,Creative Salmon Company,Warne Island,49.12815,-125.74923,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),10,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (3),Bacterial Kidney Disease,n/a
19-04-2012,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),3,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No disease that is significant at the population level,n/a
30-04-2012,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Nootka Sound,Atlantic salmon (Salmo salar),12,N,N,N,N,n/a,N,n/a,n/a,Microsporidial encephalitis (2),No disease that is significant at the population level,n/a
30-04-2012,1700,Grieg Seafood BC,Muchalat South,49.64012,-126.32735,Nootka Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
01-05-2012,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,n/a,Microsporidial encephalitis (2),Low level mortality associated with environmental conditions,n/a
07-05-2012,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast,Atlantic salmon (Salmo salar),1,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
07-05-2012,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Coho salmon (Oncorhynchus kisutch),7,Y,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
07-05-2012,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Atlantic salmon (Salmo salar),7,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
14-05-2012,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Broughton Archipelago,Atlantic salmon (Salmo salar),2,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No disease that is significant at the population level,n/a
15-05-2012,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,Broughton Archipelago,Atlantic salmon (Salmo salar),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
